,Unnamed: 0,Unnamed: 0.1,date,county,state,fips,cases,deaths,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2019,RESIDUAL2019,GQESTIMATES2019,RBIRTH2019,RDEATH2019,RNATURALINC2019,AREA_SQMI,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,avgRes,avgGroc,avgParks,avgTran,avgWork,avgRetail,Infect10k,Infect1k,Infect500,Infect100,predictedInfections100,estimated_mobile,estimated_pci,estimated_nohsdp,estimated_minority,estimated_limeng,predictedInfections1k,predictedInfections500,predictedInfections1kV2,predictedInfections500V2,predictedInfections100V2
0,0,0,2020-06-05,Autauga,Alabama,1001,249,5,54571,54597,55869,336,624,541,83,-1,455,11.20267141,9.712572485,1.490098921,594.4434589,23315,21115,8422,1065,29372,4204,8050,13369,10465,1586,13788,426,886,4279,299,1191,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,9.0,45.5,-5.0,-26.0,-11.0,1,1,1,0,0,7.658987989761765,52.5729832286241,7.524745386529203,24.679160178274177,0.7624979863609516,1,1,1,1,0
1,1,1,2020-06-05,Baldwin,Alabama,1003,312,9,182265,182265,223234,5379,2304,2326,-22,24,2170,10.44687127,10.54662438,-0.09975311099999999,1589.7930067,111945,78622,21653,4343,31203,14310,40665,45677,28863,4508,35339,1068,20492,13075,991,2705,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5.0,18.0,103.0,5.0,-22.0,7.0,1,1,0,0,0,5.857082702455719,13.97770948869796,6.410313841081555,15.830473852549343,0.47842174579141167,1,0,1,0,0
2,2,2,2020-06-05,Barbour,Alabama,1005,184,1,27457,27455,24686,-186,256,312,-56,-2,2812,10.33132895,12.59130716,-2.259978207,885.0016356000001,11937,9186,6597,918,18461,4901,4634,5436,5078,1174,13884,398,152,3484,313,849,2900,1,1,1,1,4,0,0,1,1,2,0,0,0,0,1,0,0,1,2,8,9.0,3.0,45.5,-5.0,-22.0,12.0,1,1,1,0,0,14.113262577979421,74.78327797131978,19.853358178724783,56.24240460179859,1.6122498582192335,1,1,1,1,0
3,3,3,2020-06-05,Bibb,Alabama,1007,79,1,22915,22915,22394,27,240,252,-12,-2,2148,10.72362101,11.25980206,-0.53618105,622.4610887,9161,6840,2863,658,20199,2650,3661,4659,3412,407,5726,57,222,2615,52,410,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,9.0,8.0,45.5,-5.0,-22.0,-7.0,1,1,1,0,0,11.677234973653658,90.19826739305171,11.833526837545772,25.56934893274984,0.25453246405287133,1,1,1,1,0
4,4,4,2020-06-05,Blount,Alabama,1009,66,1,57322,57322,57826,55,651,657,-6,-4,489,11.26326808,11.367077,-0.103808922,644.8304602000002,24222,20600,8220,909,22656,7861,10233,13468,8114,1437,7413,934,211,6108,339,856,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,9.0,45.5,-5.0,-29.0,-3.0,1,1,0,0,0,10.562722650710752,39.17960778888389,13.594230968768375,12.819492961643553,1.6151903987825547,1,1,1,1,0
5,5,5,2020-06-05,Bullock,Alabama,1011,220,7,10914,10911,10101,-73,109,109,0,0,1663,10.75215783,10.75215783,0.0,622.8053677999999,4526,3609,3110,490,20346,1760,1616,2150,1441,705,8124,43,76,1511,0,423,430,1,1,0,1,3,0,0,0,1,1,1,0,1,0,1,0,1,0,2,7,9.0,5.5,45.5,-5.0,-31.0,-7.0,1,1,1,1,1,14.95891495891496,201.42560142560143,17.424017424017425,80.42768042768043,0.4257004257004257,1,1,1,1,1
6,6,6,2020-06-05,Butler,Alabama,1013,433,21,20947,20940,19448,-183,213,272,-59,-1,333,10.90099542,13.92051997,-3.019524553,776.8382008,10026,6708,4640,567,20430,2141,3806,4566,3492,704,9641,93,134,2625,119,520,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,45.5,-5.0,-28.0,-10.0,1,1,1,1,1,13.497531879884821,105.04936240230359,11.008844097079391,49.57322089675031,0.4781982723159194,1,1,1,1,1
7,7,7,2020-06-05,Lawrence,Alabama,1079,52,0,34339,34337,32924,-17,349,428,-79,-4,229,10.59743415,12.99628027,-2.398846125,690.6840635,15373,12811,5508,766,23557,4919,5787,7232,6750,937,7781,62,128,3458,195,705,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,5.0,45.5,-5.0,-25.0,-2.0,1,1,0,0,0,10.50297655205929,71.5496294496416,14.940468958814238,23.633215891143237,0.18831247722026484,1,0,1,0,0
8,8,8,2020-06-05,Lee,Alabama,1081,578,34,140247,140287,164542,886,1825,1133,692,3,4913,11.12133529,6.9043687039999995,4.216966587,607.5503974999998,68081,59373,32815,4411,26960,9049,17739,34202,20764,5970,51892,1759,8399,10877,1851,2739,5897,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,12.0,-2.0,6.0,-5.0,-31.0,-18.0,1,1,1,0,0,6.6104702750665485,16.38487437857811,5.499507724471563,31.537236693367042,1.069027968542986,1,1,1,1,0
9,9,9,2020-06-05,Limestone,Alabama,1083,112,0,82782,82786,98915,2738,1014,864,150,11,2648,10.39509565,8.857359605,1.5377360430000002,559.955192,36069,32126,12384,2957,27699,10123,13723,21412,14690,2435,21498,837,1297,4536,588,1171,2872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0.0,78.0,-5.0,-28.0,-1.0,1,1,0,0,0,4.585755446595561,28.00283071323864,10.234039326694637,21.73381185866653,0.8461810645503715,1,0,1,0,0
