,score
estimated_limeng,233
estimated_minority,232
estimated_nohsdp,225
estimated_mobile,188
NATURALINC2019,150
E_MOBILE,145
GQESTIMATES2019,142
avgGroc,118
E_NOVEH,117
E_MUNIT,112
E_PCI,107
RESIDUAL2019,105
avgRetail,102
E_LIMENG,100
E_DISABL,89
avgWork,85
E_NOHSDP,82
E_CROWD,81
E_UNEMP,81
E_GROUPQ,75
E_POV,73
E_MINRTY,72
avgParks,66
E_SNGPNT,55
avgRes,55
avgTran,53
POPESTIMATE2019,44
estimated_pci,43
E_HU,41
E_AGE17,35
E_AGE65,33
F_TOTAL,32
F_SNGPNT,28
E_HH,26
F_NOVEH,15
F_THEME2,13
F_THEME4,11
F_CROWD,9
F_THEME3,8
F_THEME1,7
F_MUNIT,4
F_UNEMP,3
F_AGE17,2
F_NOHSDP,2
F_DISABL,1
F_GROUPQ,1
F_AGE65,1
