,score
estimated_mobile,314
estimated_minority,280
estimated_nohsdp,259
E_PCI,245
NATURALINC2019,222
estimated_limeng,222
avgWork,164
E_MINRTY,164
E_NOVEH,161
E_UNEMP,155
GQESTIMATES2019,154
E_MUNIT,154
E_MOBILE,153
E_CROWD,147
E_NOHSDP,141
E_LIMENG,136
RESIDUAL2019,131
E_SNGPNT,130
E_POV,129
avgGroc,129
avgRetail,125
E_DISABL,108
E_GROUPQ,103
E_HU,101
avgTran,96
estimated_pci,85
E_AGE17,79
POPESTIMATE2019,76
avgParks,66
E_AGE65,62
avgRes,60
E_HH,43
F_THEME2,35
F_SNGPNT,20
F_DISABL,19
F_TOTAL,17
F_THEME4,16
F_CROWD,14
F_MOBILE,12
F_THEME3,10
F_GROUPQ,6
F_AGE17,5
F_AGE65,4
F_MUNIT,3
F_THEME1,3
F_UNEMP,2
F_NOVEH,1
F_NOHSDP,1
